method,stable_pair_precision,stable_pair_recall,topk_precision,topk_recall,avg_set_size,benchmark,target_sample_size,delta,implied_l1_radius
fixed_target_ci_certified_bt,0.9833333333333334,1.0,1.0,1.0,3.0,mt_bench,50,0.1,0.5599971199930437
fixed_target_contextual_bt,0.9333333333333332,1.0,1.0,1.0,3.0,mt_bench,50,0.1,0.5599971199930437
marginal_bt,0.9333333333333332,1.0,1.0,1.0,3.0,mt_bench,50,0.1,0.5599971199930437
source_contextual_bt,0.9333333333333332,1.0,1.0,1.0,3.0,mt_bench,50,0.1,0.5599971199930437
ss_cbt,0.9833333333333334,1.0,1.0,1.0,3.0,mt_bench,50,0.1,0.5599971199930437
fixed_target_ci_certified_bt,0.9833333333333334,1.0,1.0,1.0,3.0,mt_bench,100,0.1,0.3959777609920179
fixed_target_contextual_bt,0.9333333333333332,1.0,1.0,1.0,3.0,mt_bench,100,0.1,0.3959777609920179
marginal_bt,0.9333333333333332,1.0,1.0,1.0,3.0,mt_bench,100,0.1,0.3959777609920179
source_contextual_bt,0.9333333333333332,1.0,1.0,1.0,3.0,mt_bench,100,0.1,0.3959777609920179
ss_cbt,0.9833333333333334,1.0,1.0,1.0,3.0,mt_bench,100,0.1,0.3959777609920179
fixed_target_ci_certified_bt,0.9833333333333334,1.0,1.0,1.0,3.0,mt_bench,200,0.1,0.27999855999652185
fixed_target_contextual_bt,0.9333333333333332,1.0,1.0,1.0,3.0,mt_bench,200,0.1,0.27999855999652185
marginal_bt,0.9333333333333332,1.0,1.0,1.0,3.0,mt_bench,200,0.1,0.27999855999652185
source_contextual_bt,0.9333333333333332,1.0,1.0,1.0,3.0,mt_bench,200,0.1,0.27999855999652185
ss_cbt,0.9833333333333334,1.0,1.0,1.0,3.0,mt_bench,200,0.1,0.27999855999652185
fixed_target_ci_certified_bt,0.9833333333333334,1.0,1.0,1.0,3.0,mt_bench,500,0.1,0.17708663823126333
fixed_target_contextual_bt,0.9333333333333332,1.0,1.0,1.0,3.0,mt_bench,500,0.1,0.17708663823126333
marginal_bt,0.9333333333333332,1.0,1.0,1.0,3.0,mt_bench,500,0.1,0.17708663823126333
source_contextual_bt,0.9333333333333332,1.0,1.0,1.0,3.0,mt_bench,500,0.1,0.17708663823126333
ss_cbt,0.9833333333333334,1.0,1.0,1.0,3.0,mt_bench,500,0.1,0.17708663823126333
fixed_target_ci_certified_bt,0.9607692307692308,0.9479166666666666,0.7916666666666666,0.625,1.75,arena_language,50,0.1,0.5071378304973565
fixed_target_contextual_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,3.0,arena_language,50,0.1,0.5071378304973565
marginal_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,3.0,arena_language,50,0.1,0.5071378304973565
source_contextual_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,3.0,arena_language,50,0.1,0.5071378304973565
ss_cbt,0.9529914529914528,0.9583333333333331,0.8333333333333333,0.75,2.0,arena_language,50,0.1,0.5071378304973565
fixed_target_ci_certified_bt,0.9607692307692308,0.9479166666666666,0.7916666666666666,0.625,1.75,arena_language,100,0.1,0.3586005989409147
fixed_target_contextual_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,3.0,arena_language,100,0.1,0.3586005989409147
marginal_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,3.0,arena_language,100,0.1,0.3586005989409147
source_contextual_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,3.0,arena_language,100,0.1,0.3586005989409147
ss_cbt,0.9365079365079364,0.9583333333333331,0.8333333333333333,0.75,2.0,arena_language,100,0.1,0.3586005989409147
fixed_target_ci_certified_bt,0.9607692307692308,0.9479166666666666,0.7916666666666666,0.625,1.75,arena_language,200,0.1,0.25356891524867825
fixed_target_contextual_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,3.0,arena_language,200,0.1,0.25356891524867825
marginal_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,3.0,arena_language,200,0.1,0.25356891524867825
source_contextual_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,3.0,arena_language,200,0.1,0.25356891524867825
ss_cbt,0.9365079365079364,0.9583333333333331,0.8333333333333333,0.75,2.0,arena_language,200,0.1,0.25356891524867825
fixed_target_ci_certified_bt,0.9607692307692308,0.9479166666666666,0.7916666666666666,0.625,1.75,arena_language,500,0.1,0.16037106320080488
fixed_target_contextual_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,3.0,arena_language,500,0.1,0.16037106320080488
marginal_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,3.0,arena_language,500,0.1,0.16037106320080488
source_contextual_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,3.0,arena_language,500,0.1,0.16037106320080488
ss_cbt,0.9256383712905452,0.9583333333333331,0.8333333333333333,0.75,2.0,arena_language,500,0.1,0.16037106320080488
fixed_target_ci_certified_bt,0.9442858604809824,0.5970149253731343,0.6,0.6,0.6,atp_surface,50,0.1,0.4046897360804744
fixed_target_contextual_bt,0.5583333333333333,1.0,0.3333333333333333,1.0,3.0,atp_surface,50,0.1,0.4046897360804744
marginal_bt,0.525,0.9402985074626866,0.3333333333333333,1.0,3.0,atp_surface,50,0.1,0.4046897360804744
source_contextual_bt,0.5583333333333333,1.0,0.3333333333333333,1.0,3.0,atp_surface,50,0.1,0.4046897360804744
ss_cbt,0.7045132545017372,0.9671641791044776,0.6333333333333333,1.0,2.0,atp_surface,50,0.1,0.4046897360804744
fixed_target_ci_certified_bt,0.9442858604809824,0.5970149253731343,0.6,0.6,0.6,atp_surface,100,0.1,0.2861588566590977
fixed_target_contextual_bt,0.5583333333333333,1.0,0.3333333333333333,1.0,3.0,atp_surface,100,0.1,0.2861588566590977
marginal_bt,0.525,0.9402985074626866,0.3333333333333333,1.0,3.0,atp_surface,100,0.1,0.2861588566590977
source_contextual_bt,0.5583333333333333,1.0,0.3333333333333333,1.0,3.0,atp_surface,100,0.1,0.2861588566590977
ss_cbt,0.6800645683597709,0.9671641791044776,0.6333333333333333,1.0,2.0,atp_surface,100,0.1,0.2861588566590977
fixed_target_ci_certified_bt,0.9442858604809824,0.5970149253731343,0.6,0.6,0.6,atp_surface,200,0.1,0.2023448680402372
fixed_target_contextual_bt,0.5583333333333333,1.0,0.3333333333333333,1.0,3.0,atp_surface,200,0.1,0.2023448680402372
marginal_bt,0.525,0.9402985074626866,0.3333333333333333,1.0,3.0,atp_surface,200,0.1,0.2023448680402372
source_contextual_bt,0.5583333333333333,1.0,0.3333333333333333,1.0,3.0,atp_surface,200,0.1,0.2023448680402372
ss_cbt,0.6456984123944309,0.9701492537313432,0.6333333333333333,1.0,2.0,atp_surface,200,0.1,0.2023448680402372
fixed_target_ci_certified_bt,0.9442858604809824,0.5970149253731343,0.6,0.6,0.6,atp_surface,500,0.1,0.12797413117067216
fixed_target_contextual_bt,0.5583333333333333,1.0,0.3333333333333333,1.0,3.0,atp_surface,500,0.1,0.12797413117067216
marginal_bt,0.525,0.9402985074626866,0.3333333333333333,1.0,3.0,atp_surface,500,0.1,0.12797413117067216
source_contextual_bt,0.5583333333333333,1.0,0.3333333333333333,1.0,3.0,atp_surface,500,0.1,0.12797413117067216
ss_cbt,0.6088791221895009,0.982089552238806,0.5,1.0,2.4,atp_surface,500,0.1,0.12797413117067216
