scenario,radius,method,robust_pair_precision,robust_pair_recall,false_robust_rate,topk_precision,topk_recall,topk_f1,avg_set_size
exact_bt_mild_shift,0.0,fixed_target_ci_certified_bt,0.9118580505222381,0.7440476190476191,0.08814194947776183,0.8981481481481483,0.6666666666666666,0.7425925925925926,2.25
exact_bt_mild_shift,0.0,fixed_target_ci_matched_bt,0.8690666885896354,0.8363095238095238,0.13093331141036454,0.8379629629629629,0.824074074074074,0.8296296296296296,2.9444444444444446
exact_bt_mild_shift,0.0,ss_cbt,0.9118580505222381,0.7440476190476191,0.08814194947776183,0.824074074074074,0.824074074074074,0.824074074074074,3.0
exact_bt_mild_shift,0.08,fixed_target_ci_certified_bt,0.8995606659422448,0.7805973050477881,0.10043933405775511,0.8981481481481483,0.7175925925925926,0.7749999999999999,2.25
exact_bt_mild_shift,0.08,fixed_target_ci_matched_bt,0.8415952670964748,0.8545327409216298,0.15840473290352516,0.8333333333333334,0.8333333333333334,0.825925925925926,2.8055555555555554
exact_bt_mild_shift,0.08,ss_cbt,0.9137373677753159,0.7467794593579618,0.0862626322246841,0.8333333333333334,0.8333333333333334,0.825925925925926,2.8055555555555554
exact_bt_mild_shift,0.18,fixed_target_ci_certified_bt,0.8791830461681721,0.8118312931477183,0.12081695383182797,0.8518518518518519,0.7407407407407408,0.7675925925925926,2.25
exact_bt_mild_shift,0.18,fixed_target_ci_matched_bt,0.822001777297671,0.872786931041762,0.17799822270232898,0.8194444444444444,0.8287037037037037,0.8120370370370371,2.638888888888889
exact_bt_mild_shift,0.18,ss_cbt,0.9043010123326002,0.7221219217354483,0.09569898766739975,0.8194444444444444,0.8287037037037037,0.8120370370370371,2.638888888888889
exact_bt_mild_shift,0.28,fixed_target_ci_certified_bt,0.8565027813740628,0.8321921925363954,0.14349721862593717,0.8194444444444444,0.7731481481481481,0.7703703703703704,2.25
exact_bt_mild_shift,0.28,fixed_target_ci_matched_bt,0.8154700808963384,0.8675272553533423,0.18452991910366165,0.7777777777777778,0.7638888888888888,0.7546296296296297,2.3055555555555554
exact_bt_mild_shift,0.28,ss_cbt,0.9013855876354194,0.7087408952438827,0.09861441236458063,0.7777777777777778,0.7638888888888888,0.7546296296296297,2.3055555555555554
exact_bt_mild_shift,0.38,fixed_target_ci_certified_bt,0.8336174443335007,0.8449397242068231,0.1663825556664992,0.7685185185185186,0.7916666666666666,0.7564814814814815,2.25
exact_bt_mild_shift,0.38,fixed_target_ci_matched_bt,0.8056278671808652,0.8470757996617709,0.19437213281913482,0.7962962962962963,0.7361111111111112,0.7388888888888889,2.0
exact_bt_mild_shift,0.38,ss_cbt,0.8978864784882588,0.686170453536491,0.10211352151174133,0.8055555555555556,0.7361111111111112,0.7444444444444445,1.9722222222222223
low_overlap_sparse,0.0,fixed_target_ci_certified_bt,0.9467726289041685,0.6488095238095238,0.05322737109583141,0.787037037037037,0.4444444444444444,0.5425925925925926,1.4166666666666667
low_overlap_sparse,0.0,fixed_target_ci_matched_bt,0.8797487337765115,0.8363095238095238,0.12025126622348845,0.8287037037037037,0.7407407407407407,0.7731481481481481,2.6944444444444446
low_overlap_sparse,0.0,ss_cbt,0.9467726289041685,0.6488095238095238,0.05322737109583141,0.8055555555555556,0.8055555555555556,0.8055555555555556,3.0
low_overlap_sparse,0.08,fixed_target_ci_certified_bt,0.9365275661786802,0.6702324989824989,0.06347243382131994,0.7777777777777778,0.46759259259259256,0.5555555555555556,1.4166666666666667
low_overlap_sparse,0.08,fixed_target_ci_matched_bt,0.8607878849545516,0.853264482431149,0.13921211504544836,0.8009259259259259,0.75,0.7592592592592592,2.6666666666666665
low_overlap_sparse,0.08,ss_cbt,0.9401040200769304,0.6319480056980057,0.059895979923069706,0.8009259259259259,0.75,0.7592592592592592,2.6666666666666665
low_overlap_sparse,0.18,fixed_target_ci_certified_bt,0.9251113857407606,0.6900372234671752,0.07488861425923951,0.7546296296296297,0.46759259259259256,0.5462962962962963,1.4166666666666667
low_overlap_sparse,0.18,fixed_target_ci_matched_bt,0.8461566356795825,0.8596629721146629,0.15384336432041745,0.8287037037037037,0.7361111111111112,0.7574074074074074,2.4166666666666665
low_overlap_sparse,0.18,ss_cbt,0.9378657168451947,0.5956254018391699,0.06213428315480521,0.8287037037037037,0.7361111111111112,0.7574074074074074,2.4166666666666665
low_overlap_sparse,0.28,fixed_target_ci_certified_bt,0.9024447959379478,0.7041285955877234,0.09755520406205223,0.7546296296296297,0.5,0.5731481481481482,1.4166666666666667
low_overlap_sparse,0.28,fixed_target_ci_matched_bt,0.8238887217631179,0.8642209283075034,0.1761112782368821,0.8287037037037037,0.7546296296296295,0.7601851851851852,2.3055555555555554
low_overlap_sparse,0.28,ss_cbt,0.9290133648267034,0.5682200804817128,0.07098663517329667,0.8287037037037037,0.7546296296296295,0.7601851851851852,2.3055555555555554
low_overlap_sparse,0.38,fixed_target_ci_certified_bt,0.8850460709863333,0.713352651999995,0.11495392901366674,0.7407407407407408,0.5046296296296297,0.5740740740740741,1.4166666666666667
low_overlap_sparse,0.38,fixed_target_ci_matched_bt,0.8100519269601395,0.8430762434728872,0.1899480730398605,0.8240740740740741,0.7083333333333334,0.737037037037037,2.111111111111111
low_overlap_sparse,0.38,ss_cbt,0.9246133598752277,0.543903228073073,0.07538664012477221,0.7962962962962963,0.6944444444444444,0.7185185185185186,2.111111111111111
misspecified_shift,0.0,fixed_target_ci_certified_bt,0.906803523728581,0.6904761904761905,0.09319647627141907,0.8055555555555556,0.6018518518518517,0.6694444444444445,2.111111111111111
misspecified_shift,0.0,fixed_target_ci_matched_bt,0.8608390057786193,0.8323412698412699,0.13916099422138067,0.8379629629629629,0.8148148148148148,0.824074074074074,2.9166666666666665
misspecified_shift,0.0,ss_cbt,0.906803523728581,0.6904761904761905,0.09319647627141907,0.824074074074074,0.824074074074074,0.824074074074074,3.0
misspecified_shift,0.08,fixed_target_ci_certified_bt,0.8987752366561763,0.7175574678050523,0.10122476334382378,0.8055555555555556,0.6296296296296295,0.6842592592592592,2.111111111111111
misspecified_shift,0.08,fixed_target_ci_matched_bt,0.8420081586869026,0.8495253782270691,0.15799184131309735,0.8101851851851851,0.8055555555555556,0.8009259259259259,2.8055555555555554
misspecified_shift,0.08,ss_cbt,0.9075052033657387,0.6884977960400666,0.09249479663426134,0.8101851851851851,0.8055555555555556,0.8009259259259259,2.8055555555555554
misspecified_shift,0.18,fixed_target_ci_certified_bt,0.8851156072356772,0.7470502351750762,0.11488439276432277,0.8055555555555556,0.6666666666666666,0.7046296296296296,2.111111111111111
misspecified_shift,0.18,fixed_target_ci_matched_bt,0.8323623582983486,0.8464912510129267,0.16763764170165135,0.7962962962962963,0.7361111111111112,0.7490740740740741,2.388888888888889
misspecified_shift,0.18,ss_cbt,0.9052550687176534,0.6656694411967105,0.09474493128234658,0.7962962962962963,0.7361111111111112,0.7490740740740741,2.388888888888889
misspecified_shift,0.28,fixed_target_ci_certified_bt,0.8617816203690817,0.7684928819430809,0.13821837963091832,0.8055555555555556,0.6944444444444444,0.7212962962962963,2.111111111111111
misspecified_shift,0.28,fixed_target_ci_matched_bt,0.8047433857518399,0.8569001006650196,0.19525661424816013,0.7962962962962963,0.7546296296296297,0.7583333333333333,2.3333333333333335
misspecified_shift,0.28,ss_cbt,0.8973244996226443,0.6415817175415072,0.10267550037735572,0.7962962962962963,0.7546296296296297,0.7583333333333333,2.3333333333333335
misspecified_shift,0.38,fixed_target_ci_certified_bt,0.8554292426637291,0.795777963796334,0.14457075733627087,0.8055555555555556,0.7314814814814814,0.7398148148148148,2.111111111111111
misspecified_shift,0.38,fixed_target_ci_matched_bt,0.7914804492340725,0.8659923973320236,0.20851955076592757,0.7962962962962963,0.7638888888888888,0.7638888888888888,2.25
misspecified_shift,0.38,ss_cbt,0.8968653754321969,0.6174899748173966,0.1031346245678031,0.8055555555555556,0.7638888888888888,0.7694444444444444,2.2222222222222223
