method,stable_pair_precision,stable_pair_recall,topk_precision,topk_recall,avg_set_size,benchmark,l1_radius
fixed_target_ci_certified_bt,0.9833333333333334,1.0,1.0,1.0,3.0,mt_bench,0.1
fixed_target_contextual_bt,0.9333333333333332,1.0,1.0,1.0,3.0,mt_bench,0.1
marginal_bt,0.9333333333333332,1.0,1.0,1.0,3.0,mt_bench,0.1
source_contextual_bt,0.9333333333333332,1.0,1.0,1.0,3.0,mt_bench,0.1
ss_cbt,0.95,1.0,1.0,1.0,3.0,mt_bench,0.1
fixed_target_ci_certified_bt,0.9607692307692308,0.9479166666666666,0.7916666666666666,0.625,1.75,arena_language,0.1
fixed_target_contextual_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,3.0,arena_language,0.1
marginal_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,3.0,arena_language,0.1
source_contextual_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,3.0,arena_language,0.1
ss_cbt,0.8968685300207039,0.9583333333333331,0.8333333333333333,0.875,2.25,arena_language,0.1
fixed_target_ci_certified_bt,0.9442858604809824,0.5970149253731343,0.6,0.6,0.6,atp_surface,0.1
fixed_target_contextual_bt,0.5583333333333333,1.0,0.3333333333333333,1.0,3.0,atp_surface,0.1
marginal_bt,0.525,0.9402985074626866,0.3333333333333333,1.0,3.0,atp_surface,0.1
source_contextual_bt,0.5583333333333333,1.0,0.3333333333333333,1.0,3.0,atp_surface,0.1
ss_cbt,0.5996652373605047,0.9850746268656716,0.5,1.0,2.4,atp_surface,0.1
fixed_target_ci_certified_bt,0.9833333333333334,1.0,1.0,1.0,3.0,mt_bench,0.18
fixed_target_contextual_bt,0.9333333333333332,1.0,1.0,1.0,3.0,mt_bench,0.18
marginal_bt,0.9333333333333332,1.0,1.0,1.0,3.0,mt_bench,0.18
source_contextual_bt,0.9333333333333332,1.0,1.0,1.0,3.0,mt_bench,0.18
ss_cbt,0.9833333333333334,1.0,1.0,1.0,3.0,mt_bench,0.18
fixed_target_ci_certified_bt,0.9607692307692308,0.9479166666666666,0.7916666666666666,0.625,1.75,arena_language,0.18
fixed_target_contextual_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,3.0,arena_language,0.18
marginal_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,3.0,arena_language,0.18
source_contextual_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,3.0,arena_language,0.18
ss_cbt,0.9256383712905452,0.9583333333333331,0.8333333333333333,0.75,2.0,arena_language,0.18
fixed_target_ci_certified_bt,0.9442858604809824,0.5970149253731343,0.6,0.6,0.6,atp_surface,0.18
fixed_target_contextual_bt,0.5583333333333333,1.0,0.3333333333333333,1.0,3.0,atp_surface,0.18
marginal_bt,0.525,0.9402985074626866,0.3333333333333333,1.0,3.0,atp_surface,0.18
source_contextual_bt,0.5583333333333333,1.0,0.3333333333333333,1.0,3.0,atp_surface,0.18
ss_cbt,0.6287290809143709,0.9701492537313432,0.6333333333333333,1.0,2.0,atp_surface,0.18
fixed_target_ci_certified_bt,0.9833333333333334,1.0,1.0,1.0,3.0,mt_bench,0.26
fixed_target_contextual_bt,0.9333333333333332,1.0,1.0,1.0,3.0,mt_bench,0.26
marginal_bt,0.9333333333333332,1.0,1.0,1.0,3.0,mt_bench,0.26
source_contextual_bt,0.9333333333333332,1.0,1.0,1.0,3.0,mt_bench,0.26
ss_cbt,0.9833333333333334,1.0,1.0,1.0,3.0,mt_bench,0.26
fixed_target_ci_certified_bt,0.9607692307692308,0.9479166666666666,0.7916666666666666,0.625,1.75,arena_language,0.26
fixed_target_contextual_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,3.0,arena_language,0.26
marginal_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,3.0,arena_language,0.26
source_contextual_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,3.0,arena_language,0.26
ss_cbt,0.9365079365079364,0.9583333333333331,0.8333333333333333,0.75,2.0,arena_language,0.26
fixed_target_ci_certified_bt,0.9442858604809824,0.5970149253731343,0.6,0.6,0.6,atp_surface,0.26
fixed_target_contextual_bt,0.5583333333333333,1.0,0.3333333333333333,1.0,3.0,atp_surface,0.26
marginal_bt,0.525,0.9402985074626866,0.3333333333333333,1.0,3.0,atp_surface,0.26
source_contextual_bt,0.5583333333333333,1.0,0.3333333333333333,1.0,3.0,atp_surface,0.26
ss_cbt,0.6645171957671957,0.9701492537313432,0.6333333333333333,1.0,2.0,atp_surface,0.26
fixed_target_ci_certified_bt,0.9833333333333334,1.0,1.0,1.0,3.0,mt_bench,0.34
fixed_target_contextual_bt,0.9333333333333332,1.0,1.0,1.0,3.0,mt_bench,0.34
marginal_bt,0.9333333333333332,1.0,1.0,1.0,3.0,mt_bench,0.34
source_contextual_bt,0.9333333333333332,1.0,1.0,1.0,3.0,mt_bench,0.34
ss_cbt,0.9833333333333334,1.0,1.0,1.0,3.0,mt_bench,0.34
fixed_target_ci_certified_bt,0.9607692307692308,0.9479166666666666,0.7916666666666666,0.625,1.75,arena_language,0.34
fixed_target_contextual_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,3.0,arena_language,0.34
marginal_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,3.0,arena_language,0.34
source_contextual_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,3.0,arena_language,0.34
ss_cbt,0.9365079365079364,0.9583333333333331,0.8333333333333333,0.75,2.0,arena_language,0.34
fixed_target_ci_certified_bt,0.9442858604809824,0.5970149253731343,0.6,0.6,0.6,atp_surface,0.34
fixed_target_contextual_bt,0.5583333333333333,1.0,0.3333333333333333,1.0,3.0,atp_surface,0.34
marginal_bt,0.525,0.9402985074626866,0.3333333333333333,1.0,3.0,atp_surface,0.34
source_contextual_bt,0.5583333333333333,1.0,0.3333333333333333,1.0,3.0,atp_surface,0.34
ss_cbt,0.6933253303587814,0.9671641791044776,0.6333333333333333,1.0,2.0,atp_surface,0.34
